name,church,city,email,whatsapp
"Team Gereja Katolik Santa Perawan Maria Ratu, Paroki Blok Q, Kebayoran Baru","Gereja Katolik Santa Perawan Maria Ratu, Paroki Blok Q, Kebayoran Baru","Jakarta Selatan","user@domain.com","+62217208640"
"Team Saint John the Evangelist Catholic Church, Kebayoran Baru","Saint John the Evangelist Catholic Church, Kebayoran Baru","Jakarta Selatan","","+62217220763"
"Team The Collective (TC) Jakarta","The Collective (TC) Jakarta","Jakarta Selatan","user@domain.com","+6282211226936"
"Team Effatha Protestant Church in Western Indonesia (GPIB)","Effatha Protestant Church in Western Indonesia (GPIB)","Jakarta Selatan","user@domain.com","+62217222220"
"Team Jakarta International Christian Fellowship","Jakarta International Christian Fellowship","Jakarta Selatan","info@jicf.org","+62212526719"
"Team Jakarta Praise Community Church (JPCC The Kasablanka Campus)","Jakarta Praise Community Church (JPCC The Kasablanka Campus)","Jakarta Selatan","date@jpcc.org","+622129865777"
"Team Jakarta International Baptist Church","Jakarta International Baptist Church","Jakarta Selatan","ministry.assistant@jibc.or.id","+622171794624"
"Team Saint Stephen Catholic Church, Cilandak","Saint Stephen Catholic Church, Cilandak","Jakarta Selatan","paroki.cilandak@gmail.com","+62217512669"
"Team GKI Kebayoran Baru","GKI Kebayoran Baru","Jakarta Selatan","","+62217262040"
"Team Holy Family Catholic Church, Pasar Minggu","Holy Family Catholic Church, Pasar Minggu","Jakarta Selatan","","+62217806237"
"Team Harvest Baptist Church (formerly HMCC of Jakarta)","Harvest Baptist Church (formerly HMCC of Jakarta)","Jakarta Selatan","user@domain.com","314192535267336"
"Team Catholic Fellowship Jakarta","Catholic Fellowship Jakarta","Jakarta Selatan","info.cfjakarta@gmail.com","1761640963"
"Team GPIB Markus (Gereja Oikumene Bahtera Kasih)","GPIB Markus (Gereja Oikumene Bahtera Kasih)","Jakarta Selatan","","+62217800072"
"Team Cathedral of Our Lady of the Assumption","Cathedral of Our Lady of the Assumption","Jakarta Selatan","","+62213519186"
"Team Grow Community Church","Grow Community Church","Jakarta Selatan","","+6281188020500"
"Team GBI New Wine International Church","GBI New Wine International Church","Jakarta Selatan","nwicsocmed@gmail.com","+6281286500101"
"Team GKDI - Gereja Kristus Di Indonesia - Jakarta","GKDI - Gereja Kristus Di Indonesia - Jakarta","Jakarta Selatan","","+622121684099"
"Team Christ the King Church","Christ the King Church","Jakarta Selatan","user@domain.com","+6281298706478"
"Team International Full Gospel Fellowship (IFGF) Jakarta - Balai Sarbini","International Full Gospel Fellowship (IFGF) Jakarta - Balai Sarbini","Jakarta Selatan","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","+6281294020876"
"Team Gereja Kristus Kebayoran Baru","Gereja Kristus Kebayoran Baru","Jakarta Selatan","gkwijayakarta@yahoo.com","+62215252714"
"Team Holy Cross Catholic Church, Cilincing","Holy Cross Catholic Church, Cilincing","Jakarta Utara","Sekretariatparokisalibsuci@yahoo.co.id","+62214405740"
"Team St. John Bosco Catholic Church, Taman Sunter","St. John Bosco Catholic Church, Taman Sunter","Jakarta Utara","info@st-yohanesbosco.org","+622165300109"
"Team GBI Mawar Saron","GBI Mawar Saron","Jakarta Utara","","+62811909419"
"Team Catholic Church Of Stella Maris Pluit","Catholic Church Of Stella Maris Pluit","Jakarta Utara","","+62216691642"
"Team GEREJA SUNTER CARE CITY CHURCH","GEREJA SUNTER CARE CITY CHURCH","Jakarta Utara","","+6281310333370"
"Team Bethesda Church - The House of Grace","Bethesda Church - The House of Grace","Jakarta Utara","contact@bethesdachurch.id","+6282299799977"
"Team Gereja Katolik Santo Yakobus, Kelapa Gading","Gereja Katolik Santo Yakobus, Kelapa Gading","Jakarta Utara","email@nativechurch.com","+62214501028"
"Team St. Andrew Kim Tae-gon Catholic Church","St. Andrew Kim Tae-gon Catholic Church","Jakarta Utara","","+622122457027"
"Team Saint Luke Catholic Church, Sunter","Saint Luke Catholic Church, Sunter","Jakarta Utara","","+62216401373"
"Team JKI Hananeel Surya","JKI Hananeel Surya","Jakarta Utara","","+6282111375577"
"Team Impact Community Indonesia (ICI) Church","Impact Community Indonesia (ICI) Church","Jakarta Utara","hello@impactcommunityindonesia.org","+628119777745"
"Team Logos Church (GBI Logos Ministry Indonesia)","Logos Church (GBI Logos Ministry Indonesia)","Jakarta Utara","","+6285310205759"
"Team GMS Kelapa Gading","GMS Kelapa Gading","Jakarta Utara","","+628152120080"
"Team Tugu Church","Tugu Church","Jakarta Utara","","+62214403767"
"Team Grace of Christ Community Church","Grace of Christ Community Church","Jakarta Utara","","+622145864133"
"Team Gereja Katolik Santo Fransiskus Xaverius, Tanjung Priok","Gereja Katolik Santo Fransiskus Xaverius, Tanjung Priok","Jakarta Utara","","+6281510217541"
"Team True Jesus Church (TJC) Sunter","True Jesus Church (TJC) Sunter","Jakarta Utara","info@tjc.org","+62216522389"
"Team Gereja Tiberias Gading Nias","Gereja Tiberias Gading Nias","Jakarta Utara","","+62214504450"
"Team GKJ Tanjung Priok","GKJ Tanjung Priok","Jakarta Utara","","+62214400459"
"Team IES Kelapa Gading","IES Kelapa Gading","Jakarta Utara","","+6281807073077"
"Team Saint Christopher Catholic Church, Grogol","Saint Christopher Catholic Church, Grogol","Jakarta Barat","sekretariat@parokigrogolkaj.or.id","+6289507953970"
"Team Parish Church of Our Lady of Carmel [M.B.K.] of Kemanggisan","Parish Church of Our Lady of Carmel [M.B.K.] of Kemanggisan","Jakarta Barat","sekretariat@parokitomang.or.id","+62215350435"
"Team GMS Central Park","GMS Central Park","Jakarta Barat","","+628152120080"
"Team Saint Andrew Catholic Church, Kedoya","Saint Andrew Catholic Church, Kedoya","Jakarta Barat","sekretariatgrj@standreaskedoya.or.id","+62215824971"
"Team GBI Jakarta Family Church","GBI Jakarta Family Church","Jakarta Barat","","+622153660814"
"Team Gereja Katolik Maria Kusuma Karmel, Meruya","Gereja Katolik Maria Kusuma Karmel, Meruya","Jakarta Barat","kontak@mkk.or.id","+62215858047"
"Team Gereja Orthodox Jakarta Barat 3 Hirarki Kudus","Gereja Orthodox Jakarta Barat 3 Hirarki Kudus","Jakarta Barat","","+6281222477124"
"Team GRII Kebon Jeruk","GRII Kebon Jeruk","Jakarta Barat","sekretariat@griikebonjeruk.org","5000000"
"Team GKBJ Taman Kencana – Jakarta Christian Baptist Church","GKBJ Taman Kencana – Jakarta Christian Baptist Church","Jakarta Barat","","+62215552868"
"Team Catholic Church of Christ Salvator, Slipi","Catholic Church of Christ Salvator, Slipi","Jakarta Barat","","+62215481844"
"Team Catholic Church St. Thomas the Apostle","Catholic Church St. Thomas the Apostle","Jakarta Barat","","+62215810977"
"Team Gereja Santo Polikarpus, Paroki Grogol - Jakarta","Gereja Santo Polikarpus, Paroki Grogol - Jakarta","Jakarta Barat","Jadwalkatolik@gmail.com","+6289507953970"
"Team Gereja Kemuliaan Sion Light to the Nations","Gereja Kemuliaan Sion Light to the Nations","Jakarta Barat","","+6285100887760"
"Team Nafiri Discipleship Church (NDC) - Central Park","Nafiri Discipleship Church (NDC) - Central Park","Jakarta Barat","","+622156985388"
"Team New Jakarta Church","New Jakarta Church","Jakarta Barat","","+6285174258835"
"Team GBI WFC (Worshipper Family Church)","GBI WFC (Worshipper Family Church)","Jakarta Barat","","+6285810006000"
"Team Saint Mary Immaculate Catholic Church, Kalideres","Saint Mary Immaculate Catholic Church, Kalideres","Jakarta Barat","sekretariat@gerejasmi.or.id","+622129405097"
"Team Cathedral of Our Lady of the Assumption","Cathedral of Our Lady of the Assumption","Jakarta Barat","","+62213519186"
"Team GBI Tanjung Duren","GBI Tanjung Duren","Jakarta Barat","","+622156964694"
"Team Gereja Tiberias Jakarta - Puri Indah","Gereja Tiberias Jakarta - Puri Indah","Jakarta Barat","",".012.30.1777.1"
