name,church,city,email,whatsapp
"Team Cathedral of Our Lady of the Assumption","Cathedral of Our Lady of the Assumption","Jakarta","","+62213519186"
"Team Saint Theresia Roman Catholic Church, Menteng","Saint Theresia Roman Catholic Church, Menteng","Jakarta","","+62213917708"
"Team GPIB Immanuel Jakarta","GPIB Immanuel Jakarta","Jakarta","gpib.immanueljkt@gmail.com","+62213440747"
"Team St. Paul's Protestant Church in West Indonesia, Jakarta","St. Paul's Protestant Church in West Indonesia, Jakarta","Jakarta","","+62213841553"
"Team Jakarta International Christian Fellowship","Jakarta International Christian Fellowship","Jakarta","info@jicf.org","+62212526719"
"Team Jakarta Praise Community Church (JPCC The Kasablanka Campus)","Jakarta Praise Community Church (JPCC The Kasablanka Campus)","Jakarta","date@jpcc.org","+622129865777"
"Team Indonesian Reformed Evangelical Church","Indonesian Reformed Evangelical Church","Jakarta","","+622165867811"
"Team Gereja Katolik Santa Perawan Maria Ratu, Paroki Blok Q, Kebayoran Baru","Gereja Katolik Santa Perawan Maria Ratu, Paroki Blok Q, Kebayoran Baru","Jakarta","user@domain.com","+62217208640"
"Team IES Jakarta","IES Jakarta","Jakarta","","+6281268886437"
"Team St. Andrew Kim Tae-gon Catholic Church","St. Andrew Kim Tae-gon Catholic Church","Jakarta","","+622122457027"
"Team Jakarta International Baptist Church","Jakarta International Baptist Church","Jakarta","ministry.assistant@jibc.or.id","+622171794624"
"Team Catholic Church Of Stella Maris Pluit","Catholic Church Of Stella Maris Pluit","Jakarta","","+62216691642"
"Team Saint Christopher Catholic Church, Grogol","Saint Christopher Catholic Church, Grogol","Jakarta","sekretariat@parokigrogolkaj.or.id","+6289507953970"
"Team Grow Community Church","Grow Community Church","Jakarta","","+6281188020500"
"Team Covenant City Church Jakarta","Covenant City Church Jakarta","Jakarta","covenantcityc@gmail.com",""
"Team Glow Fellowship Centre","Glow Fellowship Centre","Jakarta","","+622129937555"
"Team Bethesda Church - The House of Grace","Bethesda Church - The House of Grace","Jakarta","contact@bethesdachurch.id","+6282299799977"
"Team Christ the King Catholic Church, Pejompongan","Christ the King Catholic Church, Pejompongan","Jakarta","","+62215734375"
"Team Christ the King Church","Christ the King Church","Jakarta","user@domain.com","+6281298706478"
"Team Saint Ignatius Loyola Catholic Church","Saint Ignatius Loyola Catholic Church","Jakarta","","+62213150924"
"Team GKDI - Gereja Kristus Di Indonesia - Jakarta","GKDI - Gereja Kristus Di Indonesia - Jakarta","Jakarta","","+622121684099"
"Team Catholic Church of Saint Paschal","Catholic Church of Saint Paschal","Jakarta","sekretariatpaskalis@yahoo.co.id","+62214203743"
"Team Saint John the Evangelist Catholic Church, Kebayoran Baru","Saint John the Evangelist Catholic Church, Kebayoran Baru","Jakarta","","+62217220763"
"Team Gereja Kristus Yesus Mangga Besar","Gereja Kristus Yesus Mangga Besar","Jakarta","","+62216399585"
"Team Gereja Katolik St. Yohanes Maria Vianney","Gereja Katolik St. Yohanes Maria Vianney","Jakarta","","+62218444893"
"Team GBI Mawar Saron","GBI Mawar Saron","Jakarta","","+62811909419"
"Team GMS Central Park","GMS Central Park","Jakarta","","+628152120080"
"Team Keluarga Allah Jakarta","Keluarga Allah Jakarta","Jakarta","","+622129181340"
"Team Keuskupan Agung Jakarta","Keuskupan Agung Jakarta","Jakarta","","+62213519193ext.231"
"Team Canisius Catholic Chapel, Menteng","Canisius Catholic Chapel, Menteng","Jakarta","","+622131936464"
"Team The Collective (TC) Jakarta","The Collective (TC) Jakarta","Jakarta","user@domain.com","+6282211226936"
"Team All Saints Anglican Church Jakarta","All Saints Anglican Church Jakarta","Jakarta","user@domain.com","+622131935283"
"Team Kapel Katolik Biara Ursulin Santa Maria, Jakarta","Kapel Katolik Biara Ursulin Santa Maria, Jakarta","Jakarta","","+62213812404"
"Team Catholic Fellowship Jakarta","Catholic Fellowship Jakarta","Jakarta","info.cfjakarta@gmail.com",""
"Team God's Beloved Church Jakarta (GBC Jakarta)","God's Beloved Church Jakarta (GBC Jakarta)","Jakarta","","+6287898524555"
