name,church,city,email,whatsapp,website,address,rating,reviews,all_emails,source
"Team Gereja Katolik Santa Perawan Maria Ratu, Paroki Blok Q, Kebayoran Baru","Gereja Katolik Santa Perawan Maria Ratu, Paroki Blok Q, Kebayoran Baru","Jakarta Selatan","user@domain.com","+62217208640","http://www.gerejasanta.org/","Jl. Suryo No.62, RT.1/RW.4, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12180, Indonesia",4.8,1281,"user@domain.com","google_places"
"Team Saint John the Evangelist Catholic Church, Kebayoran Baru","Saint John the Evangelist Catholic Church, Kebayoran Baru","Jakarta Selatan","","+62217220763","https://www.instagram.com/komsosblokb","1, Jl. Melawai Raya No.197, RT.1/RW.6, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130, Indonesia",4.8,1048,"","google_places"
"Team The Collective (TC) Jakarta","The Collective (TC) Jakarta","Jakarta Selatan","user@domain.com","+6282211226936","https://thecollective.global/","Menara Pondok Indah, Jl. Metro Pondok Indah No.1 Lt. 8, RT.3/RW.14, Pd. Pinang, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12310, Indonesia",4.8,204,"user@domain.com; info@tcjakarta.org","google_places"
"Team Effatha Protestant Church in Western Indonesia (GPIB)","Effatha Protestant Church in Western Indonesia (GPIB)","Jakarta Selatan","user@domain.com","+62217222220","http://gpibeffathajkt.org/","Jl. Melawai I No.2, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia",4.7,313,"user@domain.com; effatha.jaksel@gpib.or.id","google_places"
"Team Jakarta International Christian Fellowship","Jakarta International Christian Fellowship","Jakarta Selatan","info@jicf.org","+62212526719","https://www.jicf.org/","Jl. Jenderal Sudirman No.58 5, RT.5/RW.3, Senayan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12190, Indonesia",4.8,96,"info@jicf.org","google_places"
"Team Jakarta Praise Community Church (JPCC The Kasablanka Campus)","Jakarta Praise Community Church (JPCC The Kasablanka Campus)","Jakarta Selatan","date@jpcc.org","+622129865777","http://www.jpcc.org/","Kota Kasablanka Mall 3rd-4th floor, Tebet, Jl. Raya Casablanca Raya No.Kav. 88, RT.16/RW.5, Menteng Dalam, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12870, Indonesia",4.7,355,"date@jpcc.org; class@jpcc.org; contact@jpcc.org; it@jpcc.org","google_places"
"Team Jakarta International Baptist Church","Jakarta International Baptist Church","Jakarta Selatan","ministry.assistant@jibc.or.id","+622171794624","https://jibc.or.id/","Mampang, Jl. Kemang Raya No.7 4th floor, RT.1/RW.7, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia",4.7,47,"ministry.assistant@jibc.or.id","google_places"
"Team Saint Stephen Catholic Church, Cilandak","Saint Stephen Catholic Church, Cilandak","Jakarta Selatan","paroki.cilandak@gmail.com","+62217512669","http://www.st-stefanus.or.id/","Jl. KH Muhasim Raya No.2, RT.12/RW.6, Cilandak Bar., Kec. Cilandak, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12430, Indonesia",4.8,1385,"paroki.cilandak@gmail.com","google_places"
"Team GKI Kebayoran Baru","GKI Kebayoran Baru","Jakarta Selatan","","+62217262040","http://www.gkikb.or.id/","Jl. Panglima Polim I No.51A, RT.1/RW.3, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160, Indonesia",4.7,669,"","google_places"
"Team Holy Family Catholic Church, Pasar Minggu","Holy Family Catholic Church, Pasar Minggu","Jakarta Selatan","","+62217806237","https://parokipasarminggu.wordpress.com/","Jl. Pertanian III No.26, RT.15/RW.5, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520, Indonesia",4.8,595,"","google_places"
"Team Harvest Baptist Church (formerly HMCC of Jakarta)","Harvest Baptist Church (formerly HMCC of Jakarta)","Jakarta Selatan","user@domain.com","314192535267336","http://harvestbaptist.id/","Ra Mampang B1, Jl. Mampang Prpt. Raya Blk. A-B No.66, RT.10/RW.3, Tegal Parang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790, Indonesia",5,20,"user@domain.com; contact@harvestbaptist.id","google_places"
"Team Catholic Fellowship Jakarta","Catholic Fellowship Jakarta","Jakarta Selatan","info.cfjakarta@gmail.com","1761640963","http://cfjakarta.org/","No.62, Jl. Suryo Blok Q, Jl. Suryo No.62, RT.1/RW.4, West Rawa, Kebayoran Baru, South Jakarta City, Jakarta 12180, Indonesia",4.9,17,"info.cfjakarta@gmail.com","google_places"
