name,church,city,email,whatsapp,website,address,rating,reviews
"Team National Shrine Cathedral of Our Lady of Guadalupe","National Shrine Cathedral of Our Lady of Guadalupe","Dallas","","+12148711362","https://www.cathedralguadalupe.org/","2215 Ross Ave, Dallas, TX 75201, USA",4.8,2746
"Team Watermark Community Church","Watermark Community Church","Dallas","info@watermark.org","+12143612275","https://www.watermark.org/","7540 Lyndon B Johnson Fwy, Dallas, TX 75251, USA",4.5,866
"Team First Baptist Church","First Baptist Church","Dallas","info@firstdallas.org","+12149690111","http://www.firstdallas.org/","1707 San Jacinto St, Dallas, TX 75201, USA",4.7,515
"Team Trinity Church Dallas","Trinity Church Dallas","Dallas","","+12145287343","http://trinitydallas.com/","4300 Cole Ave, Dallas, TX 75205, USA",4.8,87
"Team Fellowship Church","Fellowship Church","Dallas","fcplanningcenter@fellowshipchurch.com","+19724715700","https://www.fellowshipchurch.com/locations/dallas","2809 Ross Ave, Dallas, TX 75201, USA",4.6,219
"Team Gateway Church Dallas Campus","Gateway Church Dallas Campus","Dallas","","+14698017250","https://gatewaypeople.com/campuses/dallas","12123 Hillcrest Rd, Dallas, TX 75230, USA",4.6,360
"Team First Presbyterian Church of Dallas","First Presbyterian Church of Dallas","Dallas","marthai@fpcdallas.org","+12147488051","http://fpcdallas.org/","1835 Young St, Dallas, TX 75201, USA",4.8,337
"Team Church In Dallas","Church In Dallas","Dallas","office@churchindallas.org","+12144449446","http://www.churchindallas.org/","13093 Meandering Way, Dallas, TX 75240, USA",4.9,56
"Team Fellowship Dallas","Fellowship Dallas","Dallas","info@fellowshipdallas.org","+12147393881","https://www.fellowshipdallas.org/","9330 N Central Expy, Dallas, TX 75231, USA",4.7,159
"Team Oak Cliff Bible Fellowship","Oak Cliff Bible Fellowship","Dallas","Johndoe@gmail.com","+12146729100","http://www.ocbfchurch.org/","1660 W Camp Wisdom Rd, Dallas, TX 75232, USA",4.9,1139
"Team Shoreline City Church","Shoreline City Church","Dallas","info@shorelinecity.church","+14692707628","http://shorelinecity.church/","10805 Walnut Hill Ln, Dallas, TX 75238, USA",4.6,514
"Team UPPERROOM Dallas","UPPERROOM Dallas","Dallas","","+19725908555","https://upperroom.co/","1911 Wall St, Dallas, TX 75215, USA",4.7,506
"Team Northwest Bible Church","Northwest Bible Church","Dallas","connect@northwestbible.org","+14694537777","https://northwestbible.org/","8505 Douglas Ave, Dallas, TX 75225, USA",4.8,107
"Team Concord Church","Concord Church","Dallas","","+12143318522","http://concorddallas.org/","6808 Pastor Bailey Dr, Dallas, TX 75237, USA",4.8,881
"Team The Life Church - Dallas","The Life Church - Dallas","Dallas","office@tlcdallas.com","+12143529954","https://tlcdallas.com/","18610 Marsh Ln, Dallas, TX 75287, USA",4.7,105
"Team Dallas Bible Church","Dallas Bible Church","Dallas","","+19727703500","http://www.dallasbible.org/","15765 Hillcrest Rd, Dallas, TX 75248, USA",4.7,78
"Team Social Dallas","Social Dallas","Dallas","","+19729223350","https://socialdallas.com/","2021 Cockrell Ave, Dallas, TX 75215, USA",4.7,108
"Team East Dallas Christian Church","East Dallas Christian Church","Dallas","","+12148248185","http://www.edcc.org/","629 N Peak St, Dallas, TX 75246, USA",4.8,36
"Team Cathedral Of Hope","Cathedral Of Hope","Dallas","","+12143511901","http://www.cathedralofhope.com/","5910 Cedar Springs Rd, Dallas, TX 75235, USA",4.7,413
"Team Trinity Bible Church of Dallas","Trinity Bible Church of Dallas","Dallas","admin@trinitybibledallas.org","+12147929805","https://www.trinitybibledallas.org/","5619 Dyer St, Dallas, TX 75206, USA",5,50
"Team St. Jude Chapel","St. Jude Chapel","Dallas","","+12147422508","https://stjudechapel.org/","1521 Main St, Dallas, TX 75201, USA",4.9,182
"Team San Juan Diego Catholic Church","San Juan Diego Catholic Church","Dallas","receptionist@sanjuandiegodallas.org","+12142714691","http://www.sanjuandiegodallas.org/","10919 Royal Haven Ln, Dallas, TX 75229, USA",4.7,1106
"Team St. Patrick Catholic Church","St. Patrick Catholic Church","Dallas","","+12143487380","http://stpatrickdallas.org/","9643 Ferndale Rd, Dallas, TX 75238, USA",4.8,338
"Team Christ the King Catholic Church","Christ the King Catholic Church","Dallas","user@domain.com","+12143651200","https://www.ctkdallas.org/","8017 Preston Rd, Dallas, TX 75225, USA",4.8,138
"Team Grace Cathedral Church Of God In Christ","Grace Cathedral Church Of God In Christ","Dallas","","+12143029140","https://www.gracedallas.org/","7615 S Polk St, Dallas, TX 75232, USA",4.7,62
"Team Church of the Incarnation","Church of the Incarnation","Dallas","info@incarnation.org","+12145215101","https://incarnation.org/","3966 McKinney Ave, Dallas, TX 75204, USA",4.7,94
"Team St. Monica Catholic Church","St. Monica Catholic Church","Dallas","","+12143581453","http://www.stmonicachurch.org/","9933 Midway Rd, Dallas, TX 75220, USA",4.8,398
"Team Holy Trinity Catholic Church","Holy Trinity Catholic Church","Dallas","","+12145268555","https://htdallas.org/","3811 Oak Lawn Ave, Dallas, TX 75219, USA",4.6,257
"Team Highland Park United Methodist Church","Highland Park United Methodist Church","Dallas","","+12145213111","http://www.hpumc.org/","3300 Mockingbird Ln, Dallas, TX 75205, USA",4.8,179
"Team All Saints Catholic Church","All Saints Catholic Church","Dallas","","+19727780301","http://www.allsaintsdallas.org/","5231 Meadowcreek Dr, Dallas, TX 75248, USA",4.8,265
"Team Catholic Diocese of Dallas","Catholic Diocese of Dallas","Dallas","","+12145282240","http://dallascatholic.org/","3725 Blackburn St, Dallas, TX 75219, USA",3.9,46
"Team Perkins Chapel","Perkins Chapel","Dallas","perkins@mail.smu.edu","+12147688436","http://www.smu.edu/perkins","6001 Bishop Blvd, Dallas, TX 75205, USA",4.7,50
"Team Bella Donna Chapel","Bella Donna Chapel","Dallas","","+19728367718","http://belladonnachapel.com/","6641 Mediterranean Dr, McKinney, TX 75072, USA",4.7,226
"Team Thanks-Giving Square","Thanks-Giving Square","Dallas","user@domain.com","+12149691977","http://www.thanksgiving.org/","1627 Pacific Ave, Dallas, TX 75201, USA",4.6,1253
"Team Hidden Pines Chapel | Highland Village","Hidden Pines Chapel | Highland Village","Dallas","","+19723177464","https://waltersweddingestates.com/venues/hidden-pines-chapel-highland-village/?utm_source=GBP&utm_medium=listing&utm_campaign=Hidden+Pines+Chapel%2C+Highland+Village","2380 Nelson Pkwy, Highland Village, TX 75077, USA",4.4,282
"Team Chapel at Riverwalk","Chapel at Riverwalk","Dallas","","+19723177464","https://waltersweddingestates.com/venues/chapel-at-riverwalk-flower-mound/?utm_source=GBP&utm_medium=listing&utm_campaign=Chapel+at+Riverwalk%2C+Flower+Mound","4040 River Walk Dr, Flower Mound, TX 75028, USA",4.7,105
"Team Marty Leonard Community Chapel","Marty Leonard Community Chapel","Dallas","","+18172552576","https://martyleonardchapel.org/","3131 Sanguinet St, Fort Worth, TX 76107, USA",4.8,329
"Team Chapel at Ana Villa","Chapel at Ana Villa","Dallas","","+19723177464","https://waltersweddingestates.com/venues/chapel-at-ana-villa-the-colony/?utm_source=GBP&utm_medium=listing&utm_campaign=Chapel+at+Ana+Villa%2C+The+Colony","5921 Stone Creek Dr, The Colony, TX 75056, USA",4.6,278
"Team Winners Chapel International Dallas","Winners Chapel International Dallas","Dallas","user@domain.com","+12147749078","http://winnerschapeldallas.org/","2256 Arapaho Rd, Garland, TX 75044, USA",4.7,170
"Team Pilgrim Chapel","Pilgrim Chapel","Dallas","","+12143337100","http://www5.dbu.edu/news/campus-news/475-dbu-announces-completion-of-pilgrim-chapel","3000 Mountain Creek Pkwy, Dallas, TX 75211, USA",4.7,74
"Team Calvary Chapel Dallas","Calvary Chapel Dallas","Dallas","info@ccdallastx.com","+19725168851","http://www.ccdallastx.com/","5930 Alma Dr, Plano, TX 75023, USA",4.6,58
"Team Victory Chapel Dallas","Victory Chapel Dallas","Dallas","info@vchapel.org","+12144848805","https://www.vchapel.org/","101 W Buckingham Rd, Richardson, TX 75081, USA",5,29
"Team White Rock Chapel","White Rock Chapel","Dallas","","+19729800164","https://whiterockchapelofaddison.org/","5555 Celestial Rd, Dallas, TX 75254, USA",4.6,17
"Team The Chapel of the Cross","The Chapel of the Cross","Dallas","office@thechapelofthecross.com","+12145216062","http://www.thechapelofthecross.com/","4333 Cole Ave, Dallas, TX 75205, USA",5,11
"Team Believers Chapel","Believers Chapel","Dallas","","+19722395371","https://believerschapeldallas.org/","6420 Churchill Way, Dallas, TX 75230, USA",4.8,23
"Team King's Dallas","King's Dallas","Dallas","","+12143905237","https://www.kingsdallas.com/","310 S Story Rd, Irving, TX 75060, USA",5,44
"Team Hidden Pines Chapel | Hurst","Hidden Pines Chapel | Hurst","Dallas","","+19723177464","https://waltersweddingestates.com/venues/hidden-pines-chapel-hurst/?utm_source=GBP&utm_medium=listing&utm_campaign=Hidden+Pines+Chapel%2C+Hurst","1843 Precinct Line Rd, Hurst, TX 76054, USA",4.5,265
"Team Little Chapel in-the-Woods","Little Chapel in-the-Woods","Dallas","LittleChapel@twu.edu","+19408983516","http://twuspecialevents.com/","415 Chapel Dr, Denton, TX 76209, USA",4.8,261
"Team Interfaith Peace Chapel","Interfaith Peace Chapel","Dallas","","+12143511901","https://www.cathedralofhope.com/interfaith-peace-chapel","5910 Cedar Springs Rd, Dallas, TX 75235, USA",4.9,7
"Team Cross Point Church","Cross Point Church","Nashville","","+16152984422","http://crosspoint.tv/","299 Cowan St, Nashville, TN 37213, USA",4.7,381
"Team The Belonging Co","The Belonging Co","Nashville","","+16156568777","http://www.thebelonging.co/","201 Great Circle Rd, Nashville, TN 37228, USA",4.8,249
"Team Nashville Life Church","Nashville Life Church","Nashville","user@domain.com","+16158384117","http://www.nashvillelifechurch.com/","2639 Nolensville Pk, Nashville, TN 37211, USA",4.9,83
"Team Belmont Church","Belmont Church","Nashville","info@belmont.org","+16152562123","https://www.belmont.org/","68 Music Square E, Nashville, TN 37203, USA",4.7,89
"Team Cornerstone Nashville","Cornerstone Nashville","Nashville","info@cornerstonenashville.org","+16158656655","http://www.cornerstonenashville.org/","726 W Old Hickory Blvd, Madison, TN 37115, USA",4.5,474
"Team Christ Church Nashville","Christ Church Nashville","Nashville","communications@ccnash.org","+16158346171","http://www.christchurchnashville.org/","15354 Old Hickory Blvd, Nashville, TN 37211, USA",4.8,239
"Team The Life Church - Nashville","The Life Church - Nashville","Nashville","","+19012059193","https://thelifechurchnashville.com/","120 Belle Forest Cir, Nashville, TN 37221, USA",5,19
"Team The Church In Nashville","The Church In Nashville","Nashville","mail@churchinashville.org","+16153333588","http://www.churchinnashville.org/","6105 Nolensville Pk, Nashville, TN 37211, USA",4.9,11
"Team Citipointe Church Nashville","Citipointe Church Nashville","Nashville","nashville@citipointechurch.com","+16152355675","https://citipointechurch.com/citipointe-locations/nashville/","7533 Lords Chapel Dr, Nashville, TN 37211, USA",4.8,72
