name,church,city,email,whatsapp
"Jawaban.com (CBN Indonesia)","Jawaban.com (CBN Indonesia)","Jakarta, Indonesia","kontak@cbn.or.id",""
"Cahaya Bagi Negeri (CBN) Indonesia","Cahaya Bagi Negeri (CBN) Indonesia","Lippo Cikarang, Jl. Sriwijaya No.Kav. 5 - 7, Cibatu, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17550, Indonesia","kontak@cbn.or.id","+622189905566"
"TBN solution - Konsultan Bisnis dan Perizinan. Pendirian PT/CV, OSS-RBA, Agen ITAS/VISA, and All Corporate Permit.","TBN solution - Konsultan Bisnis dan Perizinan. Pendirian PT/CV, OSS-RBA, Agen ITAS/VISA, and All Corporate Permit.","Magnetica Square, Jl. Majapahit No.26 Blk. A, Cibatu, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530, Indonesia","marketing@tbnsolution.id","+6281250005911"
"CRÜ Corner Bistro","CRÜ Corner Bistro","Jl. Kemang Raya No.12, RT.10/RW.5, Bangka, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12730, Indonesia","CONTACT@CRU.CO.ID","+622171791402"
"Conflict Resolution Unit (CRU)","Conflict Resolution Unit (CRU)","Duta Pakuan, Jl. Danau Sentani No.21 Blok C5 No, RT.01/RW.06, Tegallega, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat 16129, Indonesia","","+628119107543"
"Wahana Visi Indonesia","Wahana Visi Indonesia","16, Jl. K.H. Wahid Hasyim No.33, RT.16/RW.6, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340, Indonesia","indonesia_procurement@wvi.org","+622131927467"
"Billy Graham Training Center at The Cove","Billy Graham Training Center at The Cove","1 Porters Cove Rd, Asheville, NC 28805, USA","","+18287714800"
"Impact Community Indonesia (ICI) Church","Impact Community Indonesia (ICI) Church","Mall Of Indonesia, Jl. Boulevard Bar. Raya Lantai P3, RT.18/RW.8, Klp. Gading Bar., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240, Indonesia","hello@impactcommunityindonesia.org","+628119777745"
"Billy Graham Evangelistic Association","Billy Graham Evangelistic Association","1 Billy Graham Pkwy, Charlotte, NC 28217, USA","","+17044012432"
"Billy Graham Library","Billy Graham Library","4330 Westmont Dr, Charlotte, NC 28217, USA","","+17044013200"
"GBI Mawar Saron","GBI Mawar Saron","Jl. Kelapa Hybrida Timur, RT.4/RW.3, Pegangsaan Dua, Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14250, Indonesia","","+62811909419"
"Focus on the Family Indonesia","Focus on the Family Indonesia","Summarecon Serpong, Ruko Graha Boulevard Jl. Gading Serpong Boulevard, Curug Sangereng, BVA1, Kabupaten Tangerang, Banten 15810, Indonesia","contact@fotf.id","+6285367777140"
"Samaritan's Purse Australia & New Zealand","Samaritan's Purse Australia & New Zealand","13 Binney Rd, Kings Park NSW 2148, Australia","","+611300884468"
"Yayasan YASKI","Yayasan YASKI","Heartline Center, Lippo Village Karawaci, Villa Permata Lippo Village, Jl. Permata Sari No.1000 Lt. 4, Binong, Kec. Curug, Kabupaten Tangerang, Banten 15810, Indonesia","humas@yaski.co.id","+622159494223"
"Trans World Radio","Trans World Radio","300 Gregson Dr, Cary, NC 27511, USA","","+18004567897"
