name,church,city,email,whatsapp,website,category,source,all_emails
"CBN Indonesia","CBN Indonesia","Jakarta, Indonesia","","","https://www.cbn.id","media_ministry","known_database",""
"CGN (Christian Global Network)","CGN (Christian Global Network)","Indonesia","","","https://www.cgn.co.id","media_ministry","known_database",""
"PijarTV","PijarTV","Indonesia","","","https://www.pijartv.com","media_ministry","known_database",""
"Lifechannel","Lifechannel","Indonesia","","","https://www.lifechannel.id","media_ministry","known_database",""
"U-Channel","U-Channel","Indonesia","","","https://www.uchannel.id","media_ministry","known_database",""
"Jawaban.com (CBN Indonesia)","Jawaban.com (CBN Indonesia)","Jakarta, Indonesia","kontak@cbn.or.id","","https://www.jawaban.com","media_ministry","known_database","kontak@cbn.or.id"
"Solusi.fm","Solusi.fm","Indonesia","","","https://www.solusi.fm","media_ministry","known_database",""
"Nafiri Gabriel TV","Nafiri Gabriel TV","Indonesia","","","https://www.nafirigabriel.tv","media_ministry","known_database",""
"Metanoia Indonesia","Metanoia Indonesia","Indonesia","","","https://metanoia.id","ministry","known_database",""
"Yayasan Pelayanan Doa Indonesia","Yayasan Pelayanan Doa Indonesia","Indonesia","","","https://www.ypdi.org","ministry","known_database",""
"Cahaya Bagi Negeri (CBN) Indonesia","Cahaya Bagi Negeri (CBN) Indonesia","Lippo Cikarang, Jl. Sriwijaya No.Kav. 5 - 7, Cibatu, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17550, Indonesia","kontak@cbn.or.id","+622189905566","https://www.jawaban.com/","country_office","google_places","kontak@cbn.or.id"
"TBN solution - Konsultan Bisnis dan Perizinan. Pendirian PT/CV, OSS-RBA, Agen ITAS/VISA, and All Corporate Permit.","TBN solution - Konsultan Bisnis dan Perizinan. Pendirian PT/CV, OSS-RBA, Agen ITAS/VISA, and All Corporate Permit.","Magnetica Square, Jl. Majapahit No.26 Blk. A, Cibatu, Cikarang Sel., Kabupaten Bekasi, Jawa Barat 17530, Indonesia","marketing@tbnsolution.id","+6281250005911","http://www.tbnsolution.id/","country_office","google_places","marketing@tbnsolution.id"
